Model year,Make,Model,Vehicle size,Range (km),CO2 emissions (g/km),Recharge time (h)
2023,Rivian,"R1T (21"" Wheels) Dual Large",Large,566,0,13.0
2023,Rivian,"R1T (21"" Wheels) Performance Dual Large",Large,566,0,13.0
2023,Rivian,"R1T (21"" Wheels) Dual Max",Large,661,0,13.0
2023,Rivian,"R1T (21"" Wheels) Performance Dual Max",Large,661,0,13.0
2023,Rivian,"R1T (22"" Wheels)",Large,488,0,13.0
2023,Rivian,"R1T (22"" Wheels) Dual Large",Large,549,0,13.0
2023,Rivian,"R1T (22"" Wheels) Performance Dual Large",Large,549,0,13.0
2023,Rivian,"R1T (22"" Wheels) Dual Max",Large,612,0,13.0
2023,Rivian,"R1T (22"" Wheels) Performance Dual Max",Large,612,0,13.0
2023,Subaru,Solterra AWD,Large,360,0,11.0
2023,Tesla,Model 3 RWD,Medium,438,0,8.5
2023,Tesla,Model 3 Long Range AWD (pre-1/10/23),Medium,576,0,10.0
2023,Tesla,Model 3 Long Range AWD,Medium,536,0,10.0
2023,Tesla,Model 3 Long Range AWD (Import),Medium,534,0,10.0
2023,Tesla,Model 3 Performance,Medium,507,0,10.0
2023,Tesla,Model S,Medium,652,0,15.0
2023,Tesla,"Model S Plaid (19"" Wheels)",Medium,637,0,15.0
2023,Tesla,"Model S Plaid (21"" Wheels)",Medium,560,0,15.0
2023,Tesla,Model X,Large,560,0,14.0
2023,Tesla,"Model X Plaid (20"" Wheels)",Large,536,0,14.0
2023,Tesla,"Model X Plaid (22"" Wheels)",Large,500,0,14.0
2023,Tesla,Model Y RWD,Large,394,0,8.0
2023,Tesla,Model Y AWD,Large,449,0,9.0
2023,Tesla,Model Y Long Range AWD,Large,531,0,10.0
2023,Tesla,Model Y Long Range AWD (Import),Large,497,0,10.0
2023,Tesla,Model Y Performance,Large,488,0,10.0
2023,Tesla,Model Y Performance (Import),Large,459,0,10.0
2023,Toyota,bZ4X,Large,406,0,11.0
2023,Toyota,bZ4X AWD,Large,367,0,11.0
2023,VinFast,VF8 ECO,Large,425,0,12.0
2023,VinFast,VF8 PLUS,Large,354,0,12.0
2023,VinFast,VF8 PLUS Performance,Large,391,0,12.0
2023,Volkswagen,ID.4,Large,336,0,6.0
2023,Volkswagen,ID.4 Pro,Large,443,0,7.5
2023,Volkswagen,ID.4 AWD Pro,Large,410,0,7.5
2023,Volvo,C40 Recharge Twin,Large,364,0,8.0
2023,Volvo,XC40 Recharge Twin,Large,359,0,8.0
2024,Acura,ZDX A-SPEC AWD,Large,489,0,11.0
2024,Acura,ZDX Type S AWD,Large,447,0,11.0
2024,Audi,e-tron GT,Small,399,0,10.5
2024,Audi,RS e-tron GT,Small,399,0,10.5
2024,Audi,Q4 45 e-tron,Large,463,0,12.0
2024,Audi,Q4 50 e-tron,Large,380,0,9.0
2024,Audi,Q4 Sportback 50 e-tron,Large,389,0,9.0
2024,Audi,Q4 55 e-tron,Large,415,0,12.0
2024,Audi,Q4 Sportback 55 e-tron,Large,415,0,12.0
2024,Audi,Q8 e-tron,Large,459,0,16.0
2024,Audi,Q8 Sportback e-tron,Large,476,0,16.0
2024,Audi,"SQ8 e-tron (20"" Wheels)",Large,409,0,16.0
2024,Audi,"SQ8 e-tron (21"" or 22"" Wheels)",Large,351,0,16.0
2024,Audi,"SQ8 Sportback e-tron (20"" Wheels)",Large,409,0,16.0
2024,Audi,"SQ8 Sportback e-tron (21"" or 22"" Wheels)",Large,351,0,16.0
2024,BMW,"i4 eDrive35 Gran Coupe (18"" Wheels)",Small,444,0,7.0
2024,BMW,"i4 eDrive35 Gran Coupe (19"" Wheels)",Small,406,0,7.0
2024,BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",Small,484,0,8.0
2024,BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",Small,455,0,8.0
2024,BMW,"i4 xDrive40 Gran Coupe (18"" Wheels)",Small,494,0,8.0
2024,BMW,"i4 xDrive40 Gran Coupe (19"" Wheels)",Small,449,0,8.0
2024,BMW,"i4 M50 Gran Coupe (19"" Wheels)",Small,433,0,8.0
2024,BMW,"i4 M50 Gran Coupe (20"" Wheels)",Small,365,0,8.0
2024,BMW,"i5 M60 Sedan (19"" Wheels)",Small,412,0,8.0
2024,BMW,"i5 M60 Sedan (20"" Wheels)",Small,399,0,8.0
2024,BMW,"i5 M60 Sedan (21"" Wheels)",Small,386,0,8.0
2024,BMW,"i7 xDrive60 Sedan (19"" Wheels)",Medium,510,0,11.0
2024,BMW,"i7 xDrive60 Sedan (20"" Wheels)",Medium,480,0,11.0
2024,BMW,"i7 xDrive60 Sedan (21"" Wheels)",Medium,494,0,11.0
2024,BMW,"i7 M70 xDrive Sedan (20"" Wheels)",Medium,441,0,11.0
2024,BMW,"i7 M70 xDrive Sedan (21"" Wheels)",Medium,468,0,11.0
2024,BMW,"iX xDrive40 (20"" Wheels) ",Large,351,0,8.0
2024,BMW,"iX xDrive40 (21"" Wheels) ",Large,346,0,8.0
2024,BMW,"iX xDrive40 (22"" Wheels) ",Large,356,0,8.0
2024,BMW,"iX xDrive50 (20"" Wheels) ",Large,500,0,11.0
2024,BMW,"iX xDrive50 (21"" Wheels)",Large,494,0,11.0
2024,BMW,"iX xDrive50 (22"" Wheels) ",Large,491,0,11.0
2024,BMW,"iX M60 (21"" Wheels)",Large,476,0,11.0
2024,BMW,"iX M60 (22"" Wheels)",Large,476,0,11.0
2024,Cadillac,LYRIQ (11.5 kW Charger),Large,505,0,10.7
2024,Cadillac,LYRIQ (19 kW Charger),Large,505,0,6.7
2024,Cadillac,LYRIQ AWD (11.5 kW Charger),Large,494,0,10.7
2024,Cadillac,LYRIQ AWD (19 kW Charger),Large,494,0,6.7
2024,Chevrolet,Blazer EV RS,Large,521,0,11.0
2024,Chevrolet,Blazer EV 2LT/RS AWD,Large,449,0,9.5
2024,Chevrolet,Equinox EV,Large,513,0,9.4
2024,Chevrolet,Equinox EV AWD,Large,459,0,9.5
2024,Chevrolet,Silverado EV 3WT,Large,632,0,11.0
2024,Chevrolet,Silverado EV 4WT,Large,724,0,12.7
2024,FIAT,500e,Large,227,0,6.2
2024,Fisker,"Ocean Extreme (20"" Wheels)",Large,579,0,18.0
2024,Fisker,"Ocean Extreme (22"" Wheels)",Large,541,0,18.0
2024,Fisker,"Ocean Sport (20"" Wheels)",Large,372,0,12.0
2024,Fisker,"Ocean Sport (22"" Wheels)",Large,312,0,12.0
2024,Fisker,"Ocean Ultra (20"" Wheels)",Large,563,0,18.0
2024,Fisker,"Ocean Ultra (22"" Wheels)",Large,525,0,18.0
2024,Ford,F-150 Lightning Standard Range,Large,386,0,11.9
2024,Ford,F-150 Lightning Extended Range,Large,515,0,14.6
2024,Ford,F-150 Lightning Platinum,Large,483,0,14.6
2024,Ford,F-150 Lightning Pro,Large,515,0,10.1
2024,Ford,Mustang Mach-E Standard Range,Large,402,0,7.1
2024,Ford,Mustang Mach-E Standard Range AWD,Large,370,0,7.5
2024,Ford,Mustang Mach-E Extended Range,Large,515,0,10.1
2024,Ford,Mustang Mach-E Extended Range AWD,Large,483,0,10.0
2024,Ford,Mustang Mach-E GT,Large,451,0,9.9
2024,Ford,Mustang Mach-E Rally,Large,426,0,10.2
2024,Genesis,Electrified G80,Medium,454,0,9.0
2024,Genesis,GV60 Advanced AWD,Large,399,0,7.2
2024,Genesis,GV60 Performance AWD,Large,378,0,7.2
2024,Genesis,Electrified GV70,Large,380,0,7.9
2024,GMC,HUMMER EV2X Pickup,Large,500,0,10.5
2024,GMC,HUMMER EV2X Pickup Mud Terrain Tire,Large,449,0,10.5
2024,GMC,HUMMER EV2X SUV,Large,488,0,10.5
2024,GMC,HUMMER EV2X SUV Mud Terrain Tire,Large,449,0,10.5
2024,GMC,HUMMER EV3X SUV,Large,505,0,10.5
2024,GMC,HUMMER EV3X SUV Mud Terrain Tire,Large,480,0,10.5
2024,Honda,Prologue EX AWD,Large,452,0,9.5
2024,Honda,Prologue EX-L AWD,Large,452,0,9.5
2024,Honda,Prologue Touring AWD,Large,439,0,9.5
2024,Hyundai,IONIQ 5 Long Range,Large,488,0,8.5
2024,Hyundai,IONIQ 5 Long Range AWD,Large,410,0,8.5
2024,Hyundai,IONIQ 6 Long Range (18'' Wheels),Medium,581,0,7.5
2024,Hyundai,IONIQ 6 Long Range (20'' Wheels),Medium,491,0,7.5
2024,Hyundai,IONIQ 6 Long Range AWD (18'' Wheels),Medium,509,0,7.5
2024,Hyundai,IONIQ 6 Long Range AWD (20'' Wheels),Medium,435,0,7.5
2024,Hyundai,Kona Electric Long Range,Large,420,0,6.1
2024,Jaguar,I-PACE,Large,381,0,13.0
2024,Kia,EV6 Wind,Large,499,0,8.7
2024,Kia,"EV6 Land AWD (19"" Wheels)",Large,454,0,8.4
2024,Kia,"EV6 Land AWD (20"" Wheels)",Large,406,0,8.4
2024,Kia,EV6 GT AWD,Large,351,0,7.7
2024,Kia,EV9 Light,Large,370,0,11.4
2024,Kia,EV9 Wind,Large,489,0,15.2
2024,Kia,EV9 Land AWD,Large,451,0,14.5
2024,Kia,EV9 Land AWD GT-Line,Large,435,0,15.2
2024,Kia,Niro EV,Large,407,0,7.5
2024,Lexus,"RZ 450e AWD (18"" Wheels)",Large,354,0,10.0
2024,Lexus,"RZ 450e AWD (20"" Wheels)",Large,315,0,10.0
2024,Lucid,"Air Grand Touring XR AWD (19"" Wheels)",Medium,832,0,13.0
2024,Lucid,"Air Grand Touring XR AWD (20"" Wheels)",Medium,782,0,13.0
2024,Lucid,"Air Grand Touring XR AWD (21"" Wheels)",Medium,726,0,13.0
2024,Lucid,"Air Pure (19"" Wheels)",Medium,674,0,10.0
2024,Lucid,"Air Pure (20"" Wheels)",Medium,634,0,10.0
2024,Lucid,Air Sapphire AWD,Medium,687,0,13.0
2024,Lucid,"Air Touring AWD (19"" Wheels)",Medium,661,0,10.0
2024,Lucid,"Air Touring AWD (20"" Wheels)",Medium,615,0,10.0
2024,Lucid,"Air Touring AWD (21"" Wheels)",Medium,587,0,10.0
2024,Mazda,MX-30,Medium,161,0,5.3
2024,Mercedes-Benz,AMG EQE 4MATIC+ Sedan,Medium,370,0,10.5
2024,Mercedes-Benz,AMG EQE 4MATIC+ SUV,Large,378,0,9.5
2024,Mercedes-Benz,AMG EQS 4MATIC+ Sedan,Medium,483,0,11.25
2024,Mercedes-Benz,EQB 250+,Large,359,0,7.25
2024,Mercedes-Benz,EQB 300 4MATIC,Large,330,0,6.75
2024,Mercedes-Benz,EQE 350 4MATIC Sedan,Medium,451,0,9.5
2024,Mercedes-Benz,EQE 350 4MATIC SUV,Large,426,0,9.5
2024,Mercedes-Benz,EQE 500 4MATIC Sedan,Medium,446,0,9.5
2024,Mercedes-Benz,EQE 500 4MATIC SUV,Large,462,0,9.5
2024,Mercedes-Benz,EQS 450 4MATIC Sedan,Medium,555,0,12.75
2024,Mercedes-Benz,EQS 450 4MATIC SUV,Large,531,0,14.0
2024,Mercedes-Benz,EQS 580 4MATIC Sedan,Medium,555,0,12.75
2024,Mercedes-Benz,EQS 580 4MATIC SUV,Large,531,0,14.0
2024,Mercedes-Benz,Maybach EQS 680 4MATIC SUV,Large,517,0,14.0
2024,MINI,Cooper SE 3 Door,Small,183,0,4.0
2024,Nissan,ARIYA Engage,Large,348,0,10.0
2024,Nissan,ARIYA Evolve+,Large,465,0,14.0
2024,Nissan,ARIYA Evolve e-4ORCE,Large,330,0,10.0
2024,Nissan,ARIYA Evolve+ e-4ORCE,Large,438,0,13.0
2024,Nissan,ARIYA Platinum+ e-4ORCE,Large,428,0,14.0
2024,Nissan,LEAF SV,Medium,240,0,8.0
2024,Nissan,LEAF SV PLUS,Medium,341,0,11.0
2024,Polestar,"2 Single Motor (19"" Wheels)",Medium,515,0,8.0
2024,Polestar,"2 Single Motor (20"" Wheels)",Medium,494,0,8.0
2024,Polestar,"2 Dual Motor (19"" Wheels)",Medium,444,0,8.0
2024,Polestar,"2 Dual Motor (20"" Wheels)",Medium,428,0,8.0
2024,Polestar,2 Dual Motor Performance Pack,Medium,397,0,8.0
2024,Porsche,Taycan 4S (Performance Battery),Small,332,0,9.5
2024,Porsche,Taycan 4S (Performance Battery Plus),Small,378,0,10.5
2024,Porsche,Taycan 4S Cross Turismo,Medium,370,0,10.5
2024,Porsche,Taycan GTS,Small,396,0,10.5
2024,Porsche,Taycan GTS Sport Turismo,Small,322,0,10.5
2024,Porsche,Taycan Turbo,Small,383,0,10.5
2024,Porsche,Taycan Turbo Cross Turismo,Medium,375,0,10.5
2024,Porsche,Taycan Turbo S,Medium,357,0,10.5
2024,Porsche,Taycan Turbo S Cross Turismo,Medium,357,0,10.5
2024,Rivian,"R1S All-Terrain Dual Large (20"" Wheels)",Large,494,0,13.0
2024,Rivian,"R1S AT Performance Dual Large (20"" Wheels)",Large,494,0,13.0
2024,Rivian,"R1S Dual Large (21"" Wheels)",Large,566,0,13.0
2024,Rivian,"R1S Performance Dual Large (21"" Wheels)",Large,566,0,13.0
2024,Rivian,"R1S Dual Large (22"" Wheels)",Large,549,0,13.0
2024,Rivian,"R1S Performance Dual Large (22"" Wheels)",Large,549,0,13.0
2024,Rivian,"R1S All-Terrain Dual Max (20"" Wheels)",Large,571,0,14.5
2024,Rivian,"R1S All-Terrain Performance Dual Max (20"" Wheels)",Large,571,0,14.5
2024,Rivian,"R1S Dual Max (21"" Wheels)",Large,644,0,14.5
2024,Rivian,"R1S Performance Dual Max (21"" Wheels)",Large,644,0,14.5
2024,Rivian,"R1S Dual Max (22"" Wheels)",Large,612,0,14.5
2024,Rivian,"R1S Performance Dual Max (22"" Wheels)",Large,612,0,14.5
2024,Rivian,"R1S Quad Large (20"" Wheels)",Large,465,0,13.0
2024,Rivian,"R1S All-Terrain Quad Large (20"" Wheels)",Large,441,0,13.0
2024,Rivian,"R1S Quad Large (21"" Wheels)",Large,517,0,13.0
2024,Rivian,"R1S Quad Large (22"" Wheels)",Large,488,0,13.0
2024,Rivian,"R1T All-Terrain Dual Large (20"" Wheels)",Large,494,0,13.0
2024,Rivian,"R1T AT Performance Dual Large (20"" Wheels)",Large,494,0,13.0
2024,Rivian,"R1T Dual Large (21"" Wheels)",Large,566,0,13.0
2024,Rivian,"R1T Performance Dual Large (21"" Wheels)",Large,566,0,13.0
2024,Rivian,"R1T Dual Large (22"" Wheels)",Large,549,0,13.0
2024,Rivian,"R1T Performance Dual Large (22"" Wheels)",Large,549,0,13.0
2024,Rivian,"R1T All-Terrain Dual Max (20"" Wheels)",Large,571,0,14.5
2024,Rivian,"R1T All-Terrain Performance Dual Max (20"" Wheels)",Large,571,0,14.5
2024,Rivian,"R1T Dual Max (21"" Wheels)",Large,661,0,14.5
2024,Rivian,"R1T Performance Dual Max (21"" Wheels)",Large,661,0,14.5
2024,Rivian,"R1T Dual Max (22"" Wheels)",Large,612,0,14.5
2024,Rivian,"R1T Performance Dual Max (22"" Wheels)",Large,612,0,14.5
2024,Rivian,"R1T Quad Large (20"" Wheels)",Large,465,0,13.0
2024,Rivian,"R1T All-Terrain Quad Large (20"" Wheels)",Large,441,0,13.0
2024,Rivian,"R1T Quad Large (21"" Wheels)",Large,528,0,13.0
2024,Rivian,"R1T Quad Large (22"" Wheels)",Large,488,0,13.0
2024,Rolls-Royce,"Spectre (22"" Wheels)",Small,468,0,11.0
2024,Rolls-Royce,"Spectre (23"" Wheels)",Small,428,0,11.0
2024,Rolls-Royce,"Black Badge Spectre (22"" Wheels)",Small,451,0,11.0
2024,Rolls-Royce,"Black Badge Spectre (23"" Wheels)",Small,425,0,11.0
2024,Subaru,Solterra AWD,Large,359,0,11.0
2024,Tesla,Model 3 RWD,Medium,438,0,8.5
2024,Tesla,Model 3 RWD (Import),Medium,438,0,8.5
2024,Tesla,Model 3 Long Range AWD,Medium,549,0,10.0
2024,Tesla,Model 3 Long Range AWD (Import),Medium,549,0,10.0
2024,Tesla,Model 3 Performance,Medium,478,0,10.0
2024,Tesla,Model S,Medium,647,0,15.0
2024,Tesla,"Model S Plaid (19"" Wheels)",Medium,578,0,15.0
2024,Tesla,"Model S Plaid (21"" Wheels)",Medium,515,0,15.0
2024,Tesla,Model X,Large,539,0,14.0
2024,Tesla,"Model X Plaid (20"" Wheels)",Large,525,0,14.0
2024,Tesla,"Model X Plaid (22"" Wheels)",Large,483,0,14.0
2024,Tesla,Model Y RWD,Large,394,0,8.0
2024,Tesla,Model Y RWD (Import),Large,386,0,8.0
2024,Tesla,Model Y Long Range AWD,Large,497,0,10.0
2024,Tesla,Model Y Long Range AWD (Import),Large,496,0,10.0
2024,Tesla,Model Y Performance,Large,459,0,10.0
2024,Tesla,Model Y Performance (Import),Large,449,0,10.0
2024,Toyota,bZ4X,Large,406,0,11.0
2024,Toyota,bZ4X AWD,Large,367,0,11.0
2024,VinFast,VF8 ECO,Large,425,0,12.0
2024,VinFast,VF8 PLUS,Large,356,0,12.0
2024,VinFast,VF8 PLUS Performance,Large,391,0,12.0
2024,VinFast,VF9 ECO,Large,531,0,15.0
2024,VinFast,VF9 PLUS,Large,468,0,15.0
2024,Volkswagen,ID.4,Large,332,0,6.0
2024,Volkswagen,ID.4 S,Large,332,0,6.0
2024,Volkswagen,ID.4 Pro,Large,468,0,8.0
2024,Volkswagen,ID.4 Pro S,Large,468,0,8.0
2024,Volkswagen,ID.4 AWD Pro,Large,423,0,8.0
2024,Volkswagen,ID.4 AWD Pro S,Large,423,0,8.0
2024,Volvo,C40 Recharge,Large,478,0,8.0
2024,Volvo,C40 Recharge Twin,Large,414,0,8.0
2024,Volvo,XC40 Recharge,Large,472,0,8.0
2024,Volvo,XC40 Recharge Twin,Large,409,0,8.0
